Business,WWW,Address,Address2,City,State,Zip,Phone,Email
Ripton Community Coffeehouse,http://www.sover.net/~folkfood/rcch.htm,Route 125,,Ripton,VT,05766,(802) 388-9782,folkfood@sover.net
Ripton Community House,http://rcch.org/,1305 Vermont 125,,Ripton,VT,05766,,
River Arts Center,http://riverartsvt.org/,74 Pleasant Street,,Morrisville,VT,05661,,
River Garden Cafe,http://www.rivergardencafe.com/,427 VT Route 114 (Main Street),P.O. Box 12,East Burke,VT,05832,(802) 626-3514,
Riverwalk Records,http://www.riverwalkrecords.com/,10 State St,,Montpelier,VT,05602,(802) 223-3334,
Roadside Tavern,http://www.roadsidetavernvt.com,216 Rt 7 South,,Milton,VT,05468,(802) 891-6362,
Roaring Branch,http://www.roaringbranch.com/,P.O. Box 8,,Arlington,VT,05250,(802) 375-6401,rblogcab@sover.net
Rock Art Brewery,http://www.rockartbrewery.com/,254 Wilkins St,,Morrisville,VT,05661,,
Rosebelle's Victorian Inn,http://www.rosebelles.com/,31 Franklin St,,Brandon,VT,05733,(802) 247.0098,innkeeper@rosebelles.com
Rotary Park,,170 South Main Street,,Rutland,VT,05701,,
Rowell's Inn Bed & Breakfast,http://www.rowellsinn.com/,1834 Simonsville Rd,,Chester,VT,05143,,
Rozzi's Lakeshore Tavern,,Lakeshore Drive,,Colchester,VT,05446,(802) 863-2342,
Ruben James,,159 Main St.,,Burlington,VT,05401,(802) 864-0744,
Rusty Nail Bar & Grille,http://www.rustynailbar.com,1190 Mountain Rd,,Stowe,VT,05672,(802) 253-6245,ken@rustynailbar.com
,,1190 Mountain Road,,Stowe,VT,05672,(802) 253-NAIL (802-253-6245),
Rutland Country Club,http://www.rutlandcountryclub.com/,P.O. Box 195,,Rutland,VT,05702,(802) 773-7061,
Ryebrook Tavern,http://www.therybrooktavern.com/,782 Harwood Hill Rd,,Bennington,VT,05201,(802) 442-7500,
Saint Michael's College,http://www.smcvt.edu/,1 Winooski Park,,Colchester,VT,05439,(802) 654-2000,
Saint Michael's Playhouse,http://academics.smcvt.edu/playhouse/,1 Winooski Park,,Colchester,VT,05439,(802) 654-2000,
Sam's Charlmont Restaurant,http://www.sunsetmotorinn.com/,116 Vt Route 15 W,,Morrisville,VT,05661,(802) 888-4242,
Sami's Harmony Pub,,216 Route 7,,Milton,VT,05468,(802) 893-7267,
Sampler House Bed & Breakfast,http://www.samplerhouse.com/,22 Main St,,Milton,VT,05468,(802) 893-2724,
Samuel Safford Inne,http://www.samuelsaffordinne.com/,722 Vt Route 9,,Bennington,VT,05201,(802) 442-5934,samuelsaffordinne@myfairpoint.net
Sand Bar State Park,http://www.vtstateparks.com/htm/sandbar.htm,1215 U S Route 2,,Milton,VT,05468,(802) 893-2825,
Santa's Land,http://www.vermontvacation.com/travelPlanner/ItemDetail.aspx?outsideLink=false&spID=16613,Route 5,,Putney,VT,05346,(800) 726-8299,santa@santasland.com
Second Floor Nightclub,http://www.myspace.com/secondfloorvt,165 Church Street,,Burlington,VT,05401,,
Seyon Lodge State Park,,2967 Seyon Pond Rd,,Groton,VT,05046,,
SF Edge of Essex 1,http://www.sfedge.com/,4 Morse Dr,,Essex Junction,VT,05452,(802) 879-7734,
Sha-Booms,,45 Lake Street,,St. Albans,VT,05478,(802) 524-9014,
Shelburne Farms,http://http://www.shelburnefarms.org/,1611 Harbor Road,,Shelburne,VT,05842,(802) 985-8686,
Shelburne Museum,http://www.shelburnemuseum.org,5555 Shelburne Road,,Shelburne,VT,05482,(802) 985-3346,
Shore Acres,http://www.shoreacres.com/,237 Shore Acres Dr,,North Hero,VT,05474,(802) 372-8722,
Sidelines Sports Bar,,22 Center St.,,Rutland,VT,05701,(802) 773-4300,
Signal Kitchen Studios,http://www.signalkitchen.com,71 Main Street,,Burlington,VT,05401,(802) 399-2337,mike@signalkitchen.com
,,71 Main Street,,Burlington,VT,05401,(802) 399-2337,mike@signalkitchen.com
Silver Lake State Park,http://www.vtstateparks.com/htm/silver.htm,20 State Park Beach Rd.,,Barnard,VT,05031,(802) 234-9451,
Simon Pearce The Mill At Quechee,http://www.simonpearce.com,1760 Quechee Main Street,,Quechee,VT,05059,(802) 295-2711,
Sirloin Saloon,http://www.steakseafood.com,200 South Main Street,,Rutland,VT,05701,(802) 773-7900,
Sirloin Saloon,http://www.steakseafood.com,2545 Shelburne Road,,Shelburne,VT,05482,(802)  985-2200,
The Skinner Barn,http://www.theskinnerbarn.com/,609 Common Rd,,Waitsfield,VT,05673,(802) 496-4422,
The Skinny Pancake,http://skinnypancake.com/,60 Lake Street,,Burlington,VT,05401,(802) 540-0188,
SKUNK Hollow Tavern,http://www.skunkhollowtavern.com/,12 Brownsville Rd.,,Hartland Four Corners,VT,05049,(802) 436-2139,
Skunk Hollow Tavern,http://www.skunkhollowtavern.com/,12 Brownsville Road,,Hartland Four Corners,VT,05049,(802) 436-2139,skunkhollowtavern@msn.com
Slade Hall,http://www.uvm.edu/campus/slade/slade.html,420 So. Prospect St,,Burlington,VT,05401,,
Smuggler's Notch Inn,http://www.smuggsinn.com,55 Church St,,Jeffersonville,VT,05464,(802)644-6607,info@smuggsinn.com
Snow Barn (Mount Snow),http://www.mountsnow.com/snowbarn.html,Rt 100,,Wilmington,VT,05363,,
Snow Shoe Lodge & Pub,http://snowshoelodgeandpubvt.com,13 Main St.,,Montgomery,VT,05471,(802) 326-4456,snowshoelodge@hotmail.com
Snowed Inn,http://www.snowedinn.com/,104 Miller Brook Rd,,Killington,VT,05751,(802) 422-3407,
The South Shire Inn,http://www.southshire.com/,124 Elm Street,,Bennington,VT,05201,(802) 447-3839,relax@southshire.com
South Station a Restaurant at Trolley,http://www.southstationrestaurant.com/,US Rte -- 7 170 S.  Main St.,,Rutland,VT,05701,(802) 775-1736,
South Street Cafe,http://http://www.southstreetcafe.com/,105 South St.,,Bennington,VT,05201,(802) 447-2433,
Speaking Volumes,http://www.speakingvolumesvt.com,377 Pine Street,,Burlington,VT,05401,1-802-540-0107,anaii.ender@gmail.com
The Spot,http://www.thespotvt.com/,210 Shelburne Road,,Burlington,VT,05401,(802) 540-1778,
Squiddies,,Rt. 242,,Jay,VT,05859,(802) 988-4459,
Squire House Bed & Breakfast,http://www.squirehouse.com/,3395 Dorset West Rd,,Dorset,VT,05251,,
St Peter's Mission Church,,16 Elm Street,,Lyndonville,VT,05851,(802) 626-5705,
St. Ann's Church Hall,,41 Main Street,,Milton,VT,05468,(802) 893-2487,
St. Barnabas's Epsicopal Church,http://www.st-barnabas-vermont.org/,262 Main Street,,Norwich,VT,05055,,
St. Barnabas's Epsicopal Church,http://www.st-barnabas-vermont.org/,262 Main Street,,Norwich,VT,05055,,
Starksboro Community Coffeehouse,,Route 116,,Starksboro,VT,05487,(802) 453-7996,cuyocuyos@juno.com
Starlight Lounge (Eclipse Theater),http://eclipsetheater.com,Rt. 100,PO Box 709,Waitsfield,VT,05673,(802) 496 - 7787,seedsofsong@hotmail.com
Stella Notte Restaurant Bistro,,VT Route 108,,Jeffersonville,VT,05464,(802) 644-8884,
Stepping Stone Spa And Wellness Center,http://www.steppingstonespa.com/,1545 Darling Hill Road,,Lyndonville,VT,05851,866.626.3104,
Sterling College,http://www.sterlingcollege.edu/,16 Sterling Drive,,Craftsbury Common,VT,05827,(802) 586-7711,
Sterling Meadows Farm,http://www.websterbarn.com/,33 Woods Edge Rd,,Montpelier,VT,05602,,
Sterling Meadows Farm,http://www.websterbarn.com/,33 Woods Edge Rd,,Montpelier,VT,05602,,
Sterling Ridge Resort,http://www.sterlingridgeresort.com/log_cabins.htm,155 Sterling Ridge Dr,,Jeffersonville,VT,05464,800-347-8266,info@sterlingridgeresort.com
Stillwater State Park,http://www.vtstateparks.com/htm/stillwater.htm,44 Stillwater Rd,,Groton,VT,05046,,
The Stone Church,http://www.eventective.com/USA/Vermont/Brattleboro/327935/The-Stone-Church.html,173 Green St,,Brattleboro,VT,05301,,
Stone Cottage Collectable Bed & Breakfast,http://www.stonecottagebb.com/,196 North St,,Chester,VT,05143,,
The Stone Hearth Inn,http://www.stonehearthinnvermont.com/,698 VT Route 11 West,,Chester,VT,05143,,
Stowe Meadows,http://www.stowemeadows.com/,3233 Elmore Mountain Rd,,Elmore,VT,05661,(802) 888-0002,
Stoweflake Mountain Resort and Spa/Charlie B's Pub & Restaurant,http://www.stoweflake.com/index.aspx,"1746 Mountain Road, Stowe",PO Box 369,Stowe,VT,05672,(802) 253-7355,info@stoweflake.com
Stowehof Inn & Resort,http://www.stowehofinn.com,434 Edson Hill Rd,,Stowe,VT,05672,1-800-932-7136,
Stratton Mountain Club,http://www.stratton.com/clubs/smc/index.htm,802,,Burlington,VT,05401,1 800 STRATTON (787-2886),feedback@stratton.com
Strong House Inn,http://www.stronghouseinn.com/,94 W Main St,,Vergennes,VT,05491,(802) 877-3337,
The Studio Place Arts,http://www.studioplacearts.com/,201 N Main St,,Barre,VT,05641,(802) 479.7069,
Sue Z Cues Bar,,108 School St.,,Bennington,VT,05201,(802) 447-8558,
Sugarbush Resort,http://www.sugarbush.com/,1840 Sugarbush Access Road,,Warren,VT,05674,(800) 537-8427,
The Summit Lodge & Resort,,"PO Box 119, Killington Mtn Rd",,Killington,VT,05751,(802) 422-3535,summit@vermontel.com
Super 8 Burlington,http://www.super8vt.com,2572 Shelburne Road,,Shelburne,VT,05482,(802) 985-8037,
Swany's Tavern,,215 Main St.,,Vergennes,VT,05491,(802) 877-3667,
Sweetwaters,http://www.sweetwatersbistro.com,118 Church Street,,Burlington,VT,05401,(802) 864-9800,rcatlan@steakseafood.com
Swift House Inn,http://www.swifthouseinn.com/,25 Stewart Lane,,Middlebury,VT,05753,(802) 388-9925,
T-Bird Motor Inn,http://www.tbirdmotorinn.com,4405 Shelburne Road,,Shelburne,VT,05482,(802) 985-3663,
Tamarack Grill,http://www.skiburke.com/tamarackgrill/,223 Sherburne Lodge Rd.,,East Burke,VT,05832,(802) 626-7390,
Tapas Restaurant & Tavern,http://tapasrutland.com/,128 Merchants Row,,Rutland,VT,05701,(802) 775-1550,
Tavern at the Inn at Essex,http://www.innatessex.com,70 Essex Way,,Essex Junction,VT,05452,(802) 878-1100,jiml@innatessex.com
Three Mountain Lodge,http://www.threemountainlodge.com/,Route 108,,Jeffersonville,VT,05464,(802) 644-5736,threemt@together.net
Three Peaks Inn,,1 River Rd,,Bondville,VT,05340,(802) 297-1414,
Three Tomatoes Trattoria - Rutland,,88 Merchants Row,,Rutland,VT,05701,(802) 747-7747,
The Tinder Box,http://www.myspace.com/thetinderbox,17 Elliot Street,,Brattleboro,VT,05301,,
Tip Top Media and Arts Building,http://www.tiptopmedia.com/,85 North Main Street,,White River Junction,VT,05001,(802) 356-1933,
Town Hall Theatre,http://www.pentanglearts.org/,31 Green,,Woodstock,VT,05091,(802) 457-3981,
Trackside Tavern,,18 Mallets Bay Avenue,,Winooski,VT,05404,(802) 655-9542,
Trailside Lodge,http://www.trailsidelodge.com/,115 Coffeehouse Rd,,Killington,VT,05751,,
Tuckaways (Sheraton),http://www.sheratonburlington.com,1214 Williston Road,,South Burlington,VT,05403,(802) 865-6600,
Tucker Hill Inn & Restaurant,http://www.tuckerhill.com/,65 Marble Hill Road,,Waitsfield,VT,05673,(802) 496-3983,
Tully And Marie's,http://www.tullyandmaries.com/,7 Bakery Ln,,Middlebury,VT,05753,(802) 388-4182,
Tunbridge World's Fair,http://www.tunbridgeworldsfair.com/,1 Fairgrounds Lane,,Tunbridge,VT,05077,,
Tupelo Music Hall,http://www.tupelohallvermont.com/,188 South Main Street,,White River Junction,VT,05001,(802) 698-8341,
The Twilight Tea Lounge,http://twilighttealounge.com/,41 Main Street,,Brattleboro,VT,05301,(802) 254-8887,teatime@twilighttealounge.com
Twin Farms,http://www.twinfarms.com/,452 Royalton Turnpike,,Barnard,VT,05031,(800) 894-6327,info@twinfarms.com
,,P.O. Box 115,,Barnard,VT,05031,,
Two Brothers' Tavern,http://www.twobrotherstavern.com/,86 Main Street,PO Box 691,Middlebury,VT,05753,(802) 388-0002,
Uncle Sam's Pub,www.facebook.com/pages/Uncle-Sams-Pub/186367521430,125 State St.,,Rutland,VT,05701,(802) www.facebook.com/pages/Uncle-,
Unitarian Church,http://www.unitarianchurchofmontpelier.org,130 Main St.,,Montpelier,VT,05602,(802) 223-7861,
Upper Deck Pub (Windjammer),,1076 Williston Road,,South Burlington,VT,05403,(802) 862-6585,
Upper Deck Pub / Windjammer Restaurant,http://windjammerrestaurant.com/,1076 Williston Road  South Burlington,,Burlington,VT,05403,(802) 862-6585,
Upper Valley Events Center,http://www.uvevents.org/,80 Us Route 5 S,,Norwich,VT,05055,(802) 649-2772,
Valencia,,802,,Burlington,VT,05401,(802) 858-8978,
Valencia,,Corner of Pearl Street & So. Winooski,,Burlington,VT,05401,(802) 858-8978,
Vergennes City Hall and Opera House,http://www.vergennesoperahouse.org/,120 Main Street,PO Box 88,Vergennes,VT,05491,(802) 877-6737,info@vergennesoperahouse.org
The Vergennes Opera House,http://www.vergennesoperahouse.org/,P.O. Box 88,,Vergennes,VT,05491,,
Vermont Arts Exchange,http://www.vtartxchange.org/,29 Sage Street Mill,P.O. Box 725,North Bennington,VT,05257,(802) 442-5549,vae@comcast.net
The Vermont Inn,http://www.vermontinn.com/,69 Us Route 4,,Killington,VT,05751,(802) 775-0708,relax@vermontinn.com
Vermont Pub and Brewery,http://vermontbrewery.com,144 College St,,Burlington,VT,05401,(802) 865-0500,vpb@pshift.com
Vermont Technical College,http://www.vtc.edu/,05061,,Randolph Center,VT,05061,1-800-442-8821,
VFW Post,,176 South Winooski Avenue,,Burlington,VT,05401,(802) 864-6532,
Villa Tragara,,RR2 Box 881,,Waterbury,VT,05676,(802) 244-5288,
Village Cup,,30 Route 15,,Jericho,VT,05465,(802) 899-1730,
Village Victorian Bed & Breakfast,http://villagevictorian.com/,107 Union St,,Morrisville,VT,05661,(802) 888-8850,
Waf's Westside Deli!,http://www.wafswestsidedeli.com/Cached,165 East Allen St.,,Winooski,VT,05404,(802) 655-0290,
Wagner Road B & B,http://www.wagnerroadbnb.com/,P.O. Box 670,,St. Albans,VT,05478,(802) 849-6030,
The Waitsfield Inn,http://www.waitsfieldinn.com/,5267 Main St,,Waitsfield,VT,05673,(802) 496-3979,
Wasted City,http://www.myspace.com/justingonyea,1610 Troy Avenue,,Colchester,VT,05495,(802) 324-8935,justin@ofburlington.com
Water's Edge Bed & Breakfast,http://www.watersedgebb.com/,324 Wishing Well Ave,,Newport,VT,05855,,
The Webster Barn at Sterling Meadows Farm,http://www.websterbarn.com/,309 Webster Rd,,Hyde Park,VT,05655,(802) 888.9206,
West Mountain Inn,http://www.westmountaininn.com/,144 W Mountain Inn Rd,,Arlington,VT,05250,(802) 375-6516,info@westmountaininn.com
West Rutland Town Hall,http://www.wrutland.org/,35 Marble Street,,West Rutland,VT,05777,(802) 438-2263,townmanager@wrutland.org
West Shore Cabins,http://westshorecabinsvt.com/,888 Us Route 2,,North Hero,VT,05474,,
Weston Playhouse,,703 Main Street,,Weston,VT,05161,(802) 824 - 8167,
White Horse Inn,http://www.whitehorseinn.org/,999 German Flats Road,,Waitsfield,VT,05673,,
Whitford House Inn,,912 Grandey Rd,,Vergennes,VT,05491,(802) 758-2704,
Whitford House Inn Bed And Breakfast,http://www.whitfordhouseinn.com/,912 Grandey Rd,,Vergennes,VT,05491,(802) 758-2704,
the Wildflower Inn,,2059 Darling Hill Road,,Lyndonville,VT,05851,(802) 626-8310,
Willey Memorial Building,,3084 Main St,PO Box 36,Cabot,VT,05647,(802) 563-2279,
The Willow And Lotus Bed And Breakfast,http://www.willowlotus.com/,3958 Route 30,,Middlebury,VT,05753,(802) 462-2519,
Windsor Station Pub,,27 Depot Ave,,Windsor,VT,05089,(802) 674-2052,
Wine Works,www.wineworks.com,135 St. Paul St.,,Burlington,VT,05495,802.860.9463,contact@wineworks.net
The Wobbly Barn,http://www.wobblybarn.net/site/index.html,2229 Killington Access Rd.,,Killington,VT,05751,(802) 422-3392,Entertainment@wobblybarn.com
The Woodstock Inn & Resort,http://www.woodstockinn.com/,14 The Green,,Woodstock,VT,05091,(802) 448-7900,
Woodstock Town Hall Theatre,http://www.pentanglearts.org,31 The Green,,Woodstock,VT,05091,(802) 457-3981,pentarts@sover.net
